,Listing ID,S,Sub Type,St#,St Name,City,MLS Area,SLC,L/C Price,Price Per Square Foot,Br/Ba,Sqft,YrBuilt,LSqft/Ac,DOM/CDOM,View YN,Pool Private YN,BAC,Contract Status Change Date,MLS,County
1,OC19233309,A,SFR/D,5541,Selkirk Drive   ,HB,15,TRUS,"$974,900 ",$630.60 ,"4/1,1,0,0",1546/A,1974/ASR,"6,000/0.1377",4-Apr,,N,3,10/1/19,CRMLSM,Orange
1,OC19179781,A,SFR/D,1206,California ST  ,HB,15,STD,"$999,498 ",$408.79 ,"3/3,0,0,0",2445/P,1989/ASR,"3,240/0.0744",71/71,Y,N,2.5,7/26/19,CRMLSM,Orange
1,OC19176478,A,SFR/D,6901,Spickard DR  ,HB,15,STD,"$1,040,000 ",$412.70 ,"4/1,2,0,0",2520/A,1969/ASR,"6,150/0.1412",68/68,N,N,2.5,7/23/19,CRMLSM,Orange
1,OC19215803,A,SFR/D,205,Knoxville AVE  ,HB,15,STD,"$1,099,999 ",$437.72 ,"3/2,0,2,0",2513/A,1980/ASR,"3,188/0.0732",26/26,N,N,2.25,9/9/19,CRMLSM,Orange
1,NP19201988,A,SFR/D,307,18th ST  ,HB,15,STD,"$1,140,000 ",$481.62 ,"3/2,0,1,0",2367/A,1980/ASR,"2,875/0.066",43/61,Y,N,2,8/23/19,CRMLSM,Orange
1,OC19224569,A,SFR/A,505,18th ST  ,HB,15,PRO,"$1,149,000 ",$643.34 ,"3/2,0,1,0",1786/A,1976/EST,"2,875/0.066",15/15,N,N,2.5,9/20/19,CRMLSM,Orange
1,OC19210495,A,SFR/D,218,11th ST  ,HB,15,STD,"$1,195,000 ","$1,657.42 ","2/1,0,0,0",721/A,1953/ASR,"2,938/0.0674",32/32,Y,N,2.5,9/3/19,CRMLSM,Orange
1,OC19173065,A,SFR/D,5851,Lancefield DR  ,HB,15,STD,"$1,225,000 ",$464.54 ,"4/3,0,0,0",2637/A,1975/ASR,"6,000/0.1377",21/21,Y,N,2.5,9/14/19,CRMLSM,Orange
1,OC19167055,A,SFR/D,1209,Alabama ST  ,HB,15,STD,"$1,249,000 ",$474.90 ,"5/3,0,1,0",2630/A,1989/ASR,"3,206/0.0736",82/82,Y,N,2.5,7/15/19,CRMLSM,Orange
1,NP19162578,A,SFR/D,422,19th ST  ,HB,15,STD,"$1,250,000 ",$651.04 ,"3/2,0,1,0",1920/A,1979/BLD,"2,938/0.0674",87/87,N,N,2.5,7/10/19,CRMLSM,Orange
1,OC19185806,A,SFR/D,614,20th ST  ,HB,15,STD,"$1,275,000 ",$531.25 ,"4/2,1,0,0",2400/P,1976/ASR,"2,875/0.066",60/60,Y,N,2.5,8/6/19,CRMLSM,Orange
1,OC19175438,A,SFR/D,6141,Kelley CIR  ,HB,15,STD,"$1,289,000 ",$495.77 ,"4/3,0,0,0",2600/S,1969/APP,"6,000/0.1377",74/74,N,Y,2.5,7/23/19,CRMLSM,Orange
